Player  ,TM  ,V  ,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,9  ,10  ,11  ,12  ,13  ,14  ,15  ,16  ,17  ,18  ,19  ,20  ,21  ,22  ,23  ,GM  ,3  ,2  ,1  ,GP  
"Neale, Lachie",BL,31,-,3,3,3,3,-,-,3,3,1,3,3,-,,-,3,-,3,,,,,,17,10,,1,11
"Boak, Travis",PA,21,3,2,3,-,-,-,-,-,3,-,2,-,3,-,,2,3,-,,,,,,17,5,3,,8
"Petracca, Christian",ME,20,-,3,,-,-,3,2,-,-,-,3,3,-,3,-,-,-,3,,,,,,17,6,1,,7
"Steele, Jack",SK,20,-,-,-,-,3,-,3,3,1,3,-,-,2,1,,2,-,2,,,,,,17,4,3,2,9
"Dangerfield, Patrick",GE,15,-,-,-,-,1,3,-,-,-,-,2,2,1,3,,-,-,3,,,,,,17,3,2,2,7
"Martin, Dustin",RI,15,2,-,,-,-,-,-,2,3,3,-,-,1,-,-,,1,3,,,,,,16,3,2,2,7
"Macrae, Jack",WB,15,-,-,3,-,-,-,2,3,2,-,2,-,1,-,,2,-,-,,,,,,17,2,4,1,7
"Parker, Luke",SY,15,2,2,-,-,-,-,2,-,-,-,,3,-,1,3,-,2,-,,,,,,17,2,4,1,7
"Guthrie, Cameron",GE,14,-,-,-,3,-,-,-,3,-,3,-,-,3,1,,1,-,-,,,,,,17,4,,2,6
"Oliver, Clayton",ME,14,-,-,,-,1,-,1,2,-,3,2,2,-,-,-,-,3,-,,,,,,17,2,3,2,7
"Merrett, Zach",ES,13,-,3,,-,,-,-,3,-,2,-,-,2,3,-,-,-,-,,,,,,16,3,2,,5
"Pendlebury, Scott",CW,13,-,3,2,2,-,-,-,,,,,-,2,1,-,,3,-,,,,,,13,2,3,1,6
"Gawn, Max",ME,13,-,2,,2,2,2,3,-,-,-,,,,-,2,-,-,-,,,,,,14,1,5,,6
"Greene, Toby",GW,12,3,-,,3,-,-,,3,-,,,,-,-,3,-,-,-,,,,,,13,4,,,4
"Greenwood, Hugh",GC,11,-,-,-,-,2,-,3,-,-,-,3,-,-,3,,-,-,-,,,,,,17,3,1,,4
"Sheed, Dom",WC,11,3,-,-,-,-,2,-,-,3,,-,-,-,-,-,-,,3,,,,,,16,3,1,,4
"Adams, Taylor",CW,11,-,-,-,-,-,-,-,-,-,3,3,-,1,3,-,,-,1,,,,,,17,3,,2,5
"Kelly, Tim",WC,11,-,-,-,-,-,3,-,2,-,,2,-,-,-,1,-,3,-,,,,,,17,2,2,1,5
"Hawkins, Tom",GE,11,-,-,-,-,3,2,-,-,-,-,1,3,-,-,,2,-,-,,,,,,17,2,2,1,5
"Wines, Ollie",PA,10,,,2,-,-,-,-,-,-,-,3,-,-,-,,3,2,-,,,,,,15,2,2,,4
"Cripps, Patrick",CA,10,-,-,3,-,-,-,-,-,2,,-,3,-,-,-,2,-,-,,,,,,17,2,2,,4
"Mitchell, Tom",HW,10,-,-,-,-,-,-,-,-,1,,1,-,2,-,-,3,-,3,,,,,,17,2,1,2,5
"Bontempelli, Marcus",WB,10,-,-,-,3,-,-,-,-,-,-,-,2,-,-,,1,3,1,,,,,,17,2,1,2,5
