"PERSON_ID","FULLNAME","DOB","CURRENT_HEIGHT","CURRENT_WEIGHT","SEASON_ID","SQUAD_NAME","POSITION_NAME","JUMPER_NO","CAREER_MATCHES_PRE_2018"
294472,"Rory Atkins","1994-07-12",186,85,2018,"Adelaide Crows","Wing",21,57
240060,"Eddie Betts","1986-11-26",174,74,2018,"Adelaide Crows","Gen Fwd",18,277
293193,"Luke Brown","1992-09-22",181,81,2018,"Adelaide Crows","Gen Def",16,115
270215,"Kyle Cheney","1989-08-25",186,93,2018,"Adelaide Crows","Key Def",25,77
294307,"Brad Crouch","1994-01-14",185,85,2018,"Adelaide Crows","Mid",2,61
297401,"Matt Crouch","1995-04-21",181,82,2018,"Adelaide Crows","Mid",5,72
298417,"Ben Davis","1997-05-19",189,86,2018,"Adelaide Crows","Gen Fwd",40,0
991945,"Harry Dear","1996-08-18",197,101,2018,"Adelaide Crows","Ruck",38,0
1000932,"Tom Doedee","1997-03-01",188,89,2018,"Adelaide Crows","Gen Def",39,0
240370,"Richard Douglas","1987-02-06",181,79,2018,"Adelaide Crows","Mid-Fwd",26,220
999335,"Jackson Edwards","1999-10-11",179,73,2018,"Adelaide Crows","Mid",19,0
293479,"Cameron Ellis-Yolmen","1993-01-28",190,100,2018,"Adelaide Crows","Mid",28,14
999331,"Darcy Fogarty","1999-09-25",195,99,2018,"Adelaide Crows","Key Fwd",32,0
998106,"Jordan Gallucci","1998-05-04",184,77,2018,"Adelaide Crows","Gen Fwd",7,1
250417,"Bryce Gibbs","1989-03-15",188,85,2018,"Adelaide Crows","Mid",6,231
250557,"Sam Gibson","1986-05-27",185,82,2018,"Adelaide Crows","Mid",20,130
281091,"Hugh Greenwood","1992-03-06",191,94,2018,"Adelaide Crows","Mid",1,15
290306,"Curtly Hampton","1993-03-10",185,90,2018,"Adelaide Crows","Gen Fwd",17,60
290228,"Kyle Hartigan","1991-11-07",194,101,2018,"Adelaide Crows","Key Def",15,69
1005199,"Elliott Himmelberg","1998-06-04",200,98,2018,"Adelaide Crows","Key Fwd",34,0
992597,"Paul Hunter","1993-02-09",200,104,2018,"Adelaide Crows","Ruck",37,0
270811,"Sam Jacobs","1988-04-10",202,104,2018,"Adelaide Crows","Ruck",24,174
992266,"Ben Jarman","1998-05-05",174,76,2018,"Adelaide Crows","Mid-Fwd",45,0
